503551,3.03951e+07,254659
499754,3.03123e+07,157629
1.09945e+06,2.95007e+07,289605
1.46999e+06,2.93555e+07,312650
2.29312e+06,2.85644e+07,304502
242860,208532,278
58944,137380,0
31613,145466,0
242062,270795,437
870051,3.01041e+07,280016
434028,173852,16687
240767,280337,255
284866,214585,586
284197,255131,272
241094,272549,445
285309,216485,907
284187,196798,10429
184414,164470,264
6.02448e+06,2.53008e+07,2910
150072,326365,20259
145142,351335,284
1713,6283,0
156280,312212,10338
46411,164536,0
160625,376430,654
1.67123e+06,3.00442e+07,3070
158336,322456,773
141636,422791,283
127424,5688,0
44512,151996,0
138173,239778,16269
412,164944,0
300969,32691,382
140011,215234,286
85551,119238,0
147684,400907,57645
65441,161146,0
149500,375586,288
136203,181453,353
615234,3.10441e+07,5303
153823,219695,272
102471,46828,0
163847,25160,244
158178,235973,342
158537,202638,8278
115649,278364,3622
6868,300080,0
9442,252632,0
5.38688e+06,2.62634e+07,2971
270548,2.97358e+06,13238
929106,3.09741e+07,123398
1.10948e+06,3.07177e+07,179653
2.381e+06,2.95411e+07,148435
99507,2396,0
98506,13680,0
80499,27858,0
81777,50791,0
144055,9236,0
104352,12181,0
92516,20525,0
102408,21176,0
91598,20701,0
240995,22779,301
79477,27423,0
102500,16917,0
102696,21114,0
80666,48088,0
80641,48476,0
244981,639708,279
80138,71559,0
241348,130877,639
102784,19420,0
102574,12734,0
104548,5613,0
92436,4347,0
298942,70771,51622
72515,116748,0
3.38233e+06,2.88673e+07,106409
79819,4767,0
85541,6958,0
2905,55453,0
2640,59159,0
232265,11621,294
2875,64677,0
6997,47248,0
2867,81818,0
2519,82555,0
420,68270,0
111222,7840,354
229581,6665,251
2759,63930,0
545440,3.17399e+07,90168
1603,52526,0
672087,1.05678e+07,83942
84870,2068,0
1822,72215,0
234829,6571,283
7149,61326,0
1.25351e+06,3.07249e+07,341560
176702,190834,239
11513,2232,0
84683,63370,0
145115,104615,350
155473,90284,4947
255586,14433,223
1215,66775,0
199895,19033,646
155281,98320,1304
320519,10034,0
197050,13262,333
320471,4002,0
199982,8075,471
182202,23559,458
1.77969e+06,3.04641e+07,72065
382036,2662,0
259956,20433,7300
373942,2919,0
389832,3735,0
252218,6603,1002
378343,15557,0
414262,5567,0
383317,12252,0
386312,11756,0
